ID,Material,Grade,C,Mn,Si,P,S,Cr,Ni,Mo,V,Cu,Al,Nb,Ti,N,Co,Ta,B,Su,Sy,A5,Bhn,E,G,mu,Ro,HTC
D8894772B88F495093C43AF905AB6373,Steel SAE 1015,SAE1015,0.155,0.45,0,0.03,0.05,0,0,0,0,0,0,0,0,0,0,0,0,421,314,39,126,207000,79000,0.3,7860,AR
05982AC66F064F9EBC709E7A4164613A,Steel SAE 1015,SAE1015,0.155,0.45,0,0.03,0.05,0,0,0,0,0,0,0,0,0,0,0,0,424,324,37,121,207000,79000,0.3,7860,N
356D6E63FF9A49A3AB23BF66BAC85DC3,Steel SAE 1015,SAE1015,0.155,0.45,0,0.03,0.05,0,0,0,0,0,0,0,0,0,0,0,0,386,284,37,111,207000,79000,0.3,7860,A
1C758F8714AC4E0D9BD8D8AE1625AECD,Steel SAE 1020,SAE1020,0.2,0.45,0,0.03,0.05,0,0,0,0,0,0,0,0,0,0,0,0,448,331,36,143,207000,79000,0.3,7860,AR
DCE10036FC1946FC8C9108D598D116AD,Steel SAE 1020,SAE1020,0.2,0.45,0,0.03,0.05,0,0,0,0,0,0,0,0,0,0,0,0,441,346,35.8,131,207000,79000,0.3,7860,N
2EC038241908434FA714FEEBE24DDEFE,Steel SAE 1020,SAE1020,0.2,0.45,0,0.03,0.05,0,0,0,0,0,0,0,0,0,0,0,0,395,295,36.5,111,207000,79000,0.3,7860,A
356B183DD9E34A1C80A5028D43B9E149,Steel SAE 1022,SAE1022,0.22,0.7,0,0.03,0.05,0,0,0,0,0,0,0,0,0,0,0,0,503,359,35,149,207000,79000,0.3,7860,AR
95CB82FA86314D8490932A9E740744E3,Steel SAE 1022,SAE1022,0.22,0.7,0,0.03,0.05,0,0,0,0,0,0,0,0,0,0,0,0,483,359,34,143,207000,79000,0.3,7860,N
942333E2D11B4C2CA0B9DFD6D1CE38E0,Steel SAE 1022,SAE1022,0.22,0.7,0,0.03,0.05,0,0,0,0,0,0,0,0,0,0,0,0,450,317,35,137,207000,79000,0.3,7860,A
5E035DD0692F47E3A92EB298101AA124,Steel SAE 1030,SAE1030,0.3,0.75,0,0.03,0.05,0,0,0,0,0,0,0,0,0,0,0,0,552,345,32,179,207000,79000,0.3,7860,AR
8C9BE76E417841C3B821D4776B498039,Steel SAE 1030,SAE1030,0.3,0.75,0,0.03,0.05,0,0,0,0,0,0,0,0,0,0,0,0,517,345,32,149,207000,79000,0.3,7860,N
39E235137DD74F3CA35EA024AFD04964,Steel SAE 1030,SAE1030,0.3,0.75,0,0.03,0.05,0,0,0,0,0,0,0,0,0,0,0,0,464,341,31,126,207000,79000,0.3,7860,A
436484F7350147F7A2982D1410FB03CC,Steel SAE 1030,SAE1030,0.3,0.75,0,0.03,0.05,0,0,0,0,0,0,0,0,0,0,0,0,848,648,17,495,207000,79000,0.3,7860,TT
65BF7EFEEAE24296AC60198D15FCEFD6,Steel SAE 1040,SAE1040,0.4,0.75,0,0.03,0.05,0,0,0,0,0,0,0,0,0,0,0,0,621,414,25,201,207000,79000,0.3,7860,AR
E9134C5FCB8C41569B3B50315A4D13A5,Steel SAE 1040,SAE1040,0.4,0.75,0,0.03,0.05,0,0,0,0,0,0,0,0,0,0,0,0,590,374,28,170,207000,79000,0.3,7860,N
CEEFEC39D52C4CBC9FD7A599BF6E4078,Steel SAE 1040,SAE1040,0.4,0.75,0,0.03,0.05,0,0,0,0,0,0,0,0,0,0,0,0,519,353,30,149,207000,79000,0.3,7860,A
C3F57A34049943E98579CCEF761EE90D,Steel SAE 1040,SAE1040,0.4,0.75,0,0.03,0.05,0,0,0,0,0,0,0,0,0,0,0,0,779,593,19,262,207000,79000,0.3,7860,TT
6BB34C63B60749ADA2E4522BE8B284E2,Steel SAE 1050,SAE1050,0.5,0.75,0,0.03,0.05,0,0,0,0,0,0,0,0,0,0,0,0,724,414,20,229,207000,79000,0.3,7860,AR
5D7646BB490A4A41A0C059C46224189F,Steel SAE 1050,SAE1050,0.5,0.75,0,0.03,0.05,0,0,0,0,0,0,0,0,0,0,0,0,748,427,20,217,207000,79000,0.3,7860,N
4DD78B764534417698C437FBECD1B914,Steel SAE 1050,SAE1050,0.5,0.75,0,0.03,0.05,0,0,0,0,0,0,0,0,0,0,0,0,636,365,23.7,187,207000,79000,0.3,7860,A
60F13C35666C4904BB693C60FFC8297E,Steel SAE 1050,SAE1050,0.5,0.75,0,0.03,0.05,0,0,0,0,0,0,0,0,0,0,0,0,979,724,14,321,207000,79000,0.3,7860,TTT
EC7B0B89340448B2A2A9AA29CC77DFB8,Steel SAE 1060,SAE1060,0.6,0.75,0,0.03,0.05,0,0,0,0,0,0,0,0,0,0,0,0,814,483,17,241,207000,79000,0.3,7860,AR
EDF9BFB1E0D14FADAAFE02B8B7157D69,Steel SAE 1060,SAE1060,0.6,0.75,0,0.03,0.05,0,0,0,0,0,0,0,0,0,0,0,0,776,421,18,229,207000,79000,0.3,7860,N
2A8B4A39AA164951BF57C49A2FD5A8C0,Steel SAE 1060,SAE1060,0.6,0.75,0,0.03,0.05,0,0,0,0,0,0,0,0,0,0,0,0,626,372,22.5,179,207000,79000,0.3,7860,A
51BB6C68630743439C326AAF86EA0D7C,Steel SAE 1060,SAE1060,0.6,0.75,0,0.03,0.05,0,0,0,0,0,0,0,0,0,0,0,0,1103,779,13,321,207000,79000,0.3,7860,TTT
677DEA95360F4ED08E9D8BA76BD75254,Steel SAE 1080,SAE1080,0.8,0.85,0,0.03,0.05,0,0,0,0,0,0,0,0,0,0,0,0,965,586,12,293,207000,79000,0.3,7860,AR
E675A2F2E21E40B8830C1B3F23114D89,Steel SAE 1080,SAE1080,0.8,0.85,0,0.03,0.05,0,0,0,0,0,0,0,0,0,0,0,0,1010,524,11,293,207000,79000,0.3,7860,N
4D3E61A5DD21432FA051902D9F8B4567,Steel SAE 1080,SAE1080,0.8,0.85,0,0.03,0.05,0,0,0,0,0,0,0,0,0,0,0,0,615,376,24.7,174,207000,79000,0.3,7860,A
CE4812A480FD405E8E0DAA0516695E81,Steel SAE 1080,SAE1080,0.8,0.85,0,0.03,0.05,0,0,0,0,0,0,0,0,0,0,0,0,1303,979,12,388,207000,79000,0.3,7860,TTT
683B75ED3E71416BA59C281AA8342B0A,Steel SAE 1095,SAE1095,0.95,0.45,0,0.03,0.05,0,0,0,0,0,0,0,0,0,0,0,0,965,572,9,293,207000,79000,0.3,7860,AR
